AAL,20141008,34.53,34.55,32.6,33,22753600
AAME,20141008,3.9,4,3.86,4,4000
AAOI,20141008,14.84,14.98,14.07,14.7,184200
AAON,20141008,16.95,17.35,16.78,17.27,166700
AAPL,20141008,98.76,101.11,98.31,100.8,57404600
AAVL,20141008,32,32.18,31.02,31.35,109200
AAWW,20141008,32.28,33,31.63,32.83,165100
AAXJ,20141008,60.82,61.74,60.48,61.65,672100
ABAC,20141008,2.07,2.07,2.02,2.05,10500
ABAX,20141008,47.86,47.92,46.88,47.87,224500
ABCB,20141008,22.22,22.84,21.92,22.69,250000
ABCD,20141008,1.62,1.62,1.6,1.61,3000
ABCO,20141008,46,47.77,45.45,47.66,323500
ABDC,20141008,12.98,13.13,12.7,13.13,37500
ABGB,20141008,22.36,22.79,22.21,22.72,38300
ABIO,20141008,1.18,1.19,1.12,1.12,221800
ABMD,20141008,23.53,23.95,23.27,23.88,239700
ABTL,20141008,8.76,9.48,8.65,9.4,139700
ABY,20141008,32.65,33.26,32.34,32.59,497300
ACAD,20141008,23.93,25.58,23.81,25.25,1660300
ACAS,20141008,14.04,14.17,13.99,14.17,3072600
ACAT,20141008,32.02,32.59,31.41,32.48,154800
ACET,20141008,18.35,18.8,18.11,18.78,172000
ACFC,20141008,3.99,4,3.92,3.99,11000
ACGL,20141008,54.92,55.54,54.79,55.41,435600
ACHC,20141008,50.21,50.8,49.53,50.35,463600
ACHN,20141008,9.76,10.87,9.38,10.73,8193100
ACIW,20141008,18.2,18.51,17.88,18.48,538700
ACLS,20141008,1.95,2.04,1.93,2.02,547700
ACNB,20141008,19.41,19.43,19.08,19.08,900
ACOR,20141008,32.13,33.93,32.13,33.85,600800
ACPW,20141008,1.99,2.01,1.85,2,99300
ACRX,20141008,5.52,5.98,5.52,5.85,753300
ACSF,20141008,13.43,13.45,13.33,13.4,32600
ACST,20141008,0.67,0.68,0.6,0.62,151200
ACTA,20141008,16.64,18.33,16.64,18.23,309000
ACTG,20141008,14.22,14.74,14.01,14.7,375600
ACTS,20141008,2,2.03,1.92,1.95,78200
ACUR,20141008,0.6,0.63,0.59,0.62,54300
ACWI,20141008,57.74,58.67,57.38,58.59,1720000
ACWX,20141008,44.39,44.94,44.07,44.91,1242200
ACXM,20141008,16.62,17.31,16.52,17.28,420000
ADAT,20141008,0.64,0.65,0.61,0.63,103400
ADBE,20141008,66,68.09,65.41,67.99,3562500
ADEP,20141008,7.55,7.7,7.2,7.5,129400
ADHD,20141008,6.71,7.12,6.46,6.75,1064600
ADI,20141008,46.1,47.81,46,47.75,3218900
ADMP,20141008,4.35,4.44,4.13,4.33,51100
ADMS,20141008,14.91,15.18,14.25,15.06,364000
ADP,20141008,73.28,74.98,73.26,74.78,2078800
ADRA,20141008,28.63,28.63,28.45,28.5,3800
ADRD,20141008,23.5,23.7,23.5,23.7,1200
ADRE,20141008,39.68,40.07,39.17,40.05,10800
ADRU,20141008,23.53,23.87,23.5,23.87,5800
ADSK,20141008,56.54,57.18,55.59,57.08,2846500
ADTN,20141008,19.36,19.69,19.01,19.43,630800
ADUS,20141008,19.37,19.37,18.66,19.12,42500
ADXS,20141008,2.96,3.03,2.8,2.87,229000
ADXSW,20141008,1.28,1.28,1.1,1.1,7400
AEGN,20141008,18.81,18.83,17.72,18.19,704900
AEGR,20141008,33.66,35.06,33.19,35.02,541700
AEHR,20141008,2.05,2.17,1.94,2.17,22000
AEIS,20141008,18.83,19.28,18.43,19.25,771800
AEPI,20141008,38.15,39.42,37.42,38.95,17300
AERI,20141008,20.12,20.8,19.93,20.41,188900
AETI,20141008,7.51,7.6,7.25,7.57,35600
AEY,20141008,2.36,2.39,2.31,2.34,39200
AEZS,20141008,1.34,1.35,1.33,1.34,794400
AFAM,20141008,26.51,27.55,26.4,27.2,32600
AFCB,20141008,23,23,23,23,0
AFFX,20141008,7.15,7.5,7.02,7.47,625300
AFH,20141008,13.78,13.97,13.58,13.73,52700
AFMD,20141008,6.24,6.29,6.06,6.09,72900
AFOP,20141008,11.84,12.17,11.54,12.1,285500
AFSI,20141008,41.37,42,40.8,41.98,417200
AGEN,20141008,2.8,2.83,2.7,2.81,446100
AGII,20141008,50.54,51.76,50.31,51.67,122100
AGIIL,20141008,24.19,24.3,23.94,24.24,15800
AGIO,20141008,61.97,64.61,60.51,64.38,397200
AGNC,20141008,21.98,22.47,21.92,22.43,7681200
AGNCB,20141008,24.08,24.2,24.08,24.09,16400
AGNCP,20141008,25.47,25.5,25.43,25.49,22800
AGND,20141008,46.48,46.56,46.48,46.56,46000
AGRX,20141008,6.05,6.14,6,6,31400
AGTC,20141008,19,19,17.34,18.62,77300
AGYS,20141008,11.26,11.58,11.2,11.5,58300
AGZD,20141008,49.76,49.77,49.6,49.6,4100
AHGP,20141008,65.97,65.97,63.5,64.62,76300
AHPI,20141008,2,2,1.6,1.85,40100
AIMC,20141008,27.2,28.18,27.07,28.14,195700
AINV,20141008,8.28,8.31,8.19,8.27,1649300
AIQ,20141008,21.55,22.49,21.18,22.22,33000
AIRM,20141008,55.63,56.73,55.02,56.39,216300
AIRR,20141008,17.64,18.02,17.5,18.02,81900
AIRT,20141008,13.09,13.09,12.76,12.9,8500
AIXG,20141008,13.98,14.2,13.85,14.18,84700
AKAM,20141008,57.5,59.26,57.2,59.07,1528100
AKAO,20141008,8.89,8.89,7.8,8.33,60100
AKBA,20141008,20.87,21.42,20.38,21.27,86500
AKER,20141008,3.31,3.39,3.25,3.39,5000
AKRX,20141008,36,36.72,35.26,36.65,1051300
ALCO,20141008,37.35,37.9,37.09,37.79,35700
ALDR,20141008,11.57,11.84,11.02,11.76,149400
ALDX,20141008,5.85,6.04,5.58,5.86,12300
ALGN,20141008,46.83,47.87,46.5,47.79,816500
ALGT,20141008,115.43,115.75,110.29,110.75,672300
ALIM,20141008,4.81,5.13,4.81,5.1,306800
